iter	RMSE
0	83.63364279
1	82.00806188
2	80.48489018
3	79.11445134
4	77.84356706
5	76.39264417
6	75.02441464
7	73.89633512
8	72.58100564
9	71.34796846
10	70.31545545
11	69.15265993
12	68.16086526
13	67.21922512
14	66.26182471
15	65.25947467
16	64.43840631
17	63.73755854
18	62.99749863
19	62.12048199
20	61.40308643
21	60.74425517
22	60.18223755
23	59.55608632
24	58.97190913
25	58.37303695
26	57.88622436
27	57.3362603
28	56.89163763
29	56.39272421
30	55.88486062
31	55.44855582
32	54.89458419
33	54.51730742
34	54.04627533
35	53.67278812
36	53.24827286
37	52.89261992
38	52.65695521
39	52.3240043
40	51.86609103
41	51.48493753
42	51.22063495
43	50.85221074
44	50.57967849
45	50.23028761
46	50.01189881
47	49.86903151
48	49.49535111
49	49.24425972
50	48.98689963
51	48.6275511
52	48.34071976
53	48.1173575
54	47.8808857
55	47.57188801
56	47.29444171
57	47.04436934
58	46.78827252
59	46.52277797
60	46.32002348
61	46.09279906
62	45.90000952
63	45.73782101
64	45.5267127
65	45.37095997
66	45.04651651
67	44.85748453
68	44.57837121
69	44.37005247
70	44.21786464
71	43.91210272
72	43.72905921
73	43.56594883
74	43.4134006
75	43.26106497
76	43.07398601
77	42.90199383
78	42.73695141
79	42.54873702
80	42.42653441
81	42.30981936
82	42.19262296
83	41.99109867
84	41.82037443
85	41.67413665
86	41.51477992
87	41.34756751
88	41.16717134
89	40.99035456
90	40.85238688
91	40.69836218
92	40.58373677
93	40.44708365
94	40.31291929
95	40.17103115
96	40.07141113
97	39.92154514
98	39.80057041
99	39.65287446
100	39.50423238
101	39.38830322
102	39.25616209
103	39.16416073
104	39.00456065
105	38.83410359
106	38.72848978
107	38.59751026
108	38.46942484
109	38.34672618
110	38.25730653
111	38.17281575
112	38.06603397
113	37.98786584
114	37.88810107
115	37.78121309
116	37.70283199
117	37.56696494
118	37.46971661
119	37.3836123
120	37.25904895
121	37.15868482
122	37.12305217
123	36.98784851
124	36.91043623
125	36.84533908
126	36.76063954
127	36.62297951
128	36.52746614
129	36.43644355
130	36.36561747
131	36.28709119
132	36.18347091
133	36.10681976
134	36.02523428
135	35.95941776
136	35.86960503
137	35.79321259
138	35.62290834
