iter	RMSE
0	85.17026965
1	83.60144174
2	81.99945106
3	80.50118654
4	79.26444761
5	77.83728486
6	76.52878284
7	75.31201003
8	74.03605972
9	72.98608927
10	71.92630344
11	70.90923442
12	69.7135336
13	68.73579732
14	67.89906044
15	67.03067576
16	66.17956556
17	65.39212648
18	64.63344475
19	63.9314882
20	63.17355753
21	62.49890983
22	61.81527331
23	61.1986339
24	60.66468559
25	59.9783808
26	59.38834761
27	58.89593972
28	58.36201955
29	57.79432637
30	57.34269408
31	56.86252787
32	56.44415502
33	56.03779155
34	55.60899769
35	55.20348471
36	54.70064405
37	54.2966162
38	53.81939269
39	53.41155725
40	53.07219095
41	52.69175508
42	52.32662864
43	51.93504766
44	51.66154756
45	51.35220063
46	51.06867438
47	50.76598888
48	50.50192055
49	50.20830731
50	49.93860344
51	49.69136506
52	49.35157314
53	48.99916467
54	48.71926456
55	48.46977804
56	48.26389119
57	47.89576828
58	47.63033911
59	47.41815546
60	47.19625493
61	46.97613968
62	46.6828327
63	46.51661119
64	46.30647499
65	46.05459278
66	45.955093
67	45.7816483
68	45.52968972
69	45.28374669
70	45.05081
71	44.87174364
72	44.72788891
73	44.5065776
74	44.34897084
75	44.14664476
76	44.00919307
77	43.7716441
78	43.67170005
79	43.4543404
80	43.27990072
81	43.13375041
82	42.94685285
83	42.7944148
84	42.67297675
85	42.5583643
86	42.40947057
87	42.26116306
88	42.13423092
89	41.98129335
90	41.79615864
91	41.6813813
92	41.60150509
93	41.43618801
94	41.30431393
95	41.20378521
96	41.0789081
97	40.95453814
98	40.81257868
99	40.70699144
100	40.58608381
101	40.48610242
102	40.3060932
103	40.22738587
104	40.07681955
105	39.91190656
106	39.78990547
107	39.67615245
108	39.57021814
109	39.39046757
110	39.30715524
111	39.20140223
112	39.1277435
113	38.9158505
114	38.8294859
115	38.6616249
116	38.55858071
117	38.47398991
118	38.34067285
119	38.16165393
120	38.08108619
121	37.85466394
122	37.75398584
123	37.64605447
124	37.57709602
125	37.52130868
126	37.42820875
127	37.33422215
128	37.30424249
129	37.14890454
130	37.04535909
131	36.8768728
132	36.76131421
133	36.70350757
134	36.59310526
135	36.51690899
136	36.41268493
137	36.33725178
138	36.25973849
139	36.04483622
140	35.96944794
141	35.80696402
142	35.72427746
143	35.52584537
144	35.46091618
145	35.36654739
146	35.29482303
147	35.09682705
148	34.9982191
149	34.91030695
150	34.66406628
151	34.47148335
152	34.3370555
153	34.2541686
154	34.17153839
155	34.05666941
156	33.98892256
157	33.91576958
158	33.81113844
159	33.74960311
160	33.66599494
161	33.60180888
162	33.5338178
163	33.36847924
164	33.27793199
165	33.20344585
166	33.10490302
167	33.03180857
168	32.96964431
169	32.91945297
170	32.74672063
171	32.67190052
172	32.5255594
173	32.46767341
174	32.41988244
175	32.32891793
176	32.22875476
177	32.14436292
178	32.03503763
179	31.85453365
180	31.7941097
181	31.7451928
